,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
234,Austin Powers: International Man of Mystery,New Line Cinema,94.0,PG-13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18000000,53883989
235,Scary Movie,Miramax,88.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000,157019771
236,Scary Movie 3,Dimension Films,84.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000,110000082
237,Scary Movie 4,,83.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,90710620
238,Scary Movie 2,Miramax,83.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000,71277420
239,Scary Movie V,,88.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,32015787
241,Beverly Hills Cop III,Paramount Pictures,104.0,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50000000,42586861
242,Hannibal,Metro-Goldwyn-Mayer (MGM),131.0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,87000000,165092266
244,Red Dragon,Universal Pictures,124.0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,78000000,92955420
245,Hannibal Rising,,121.0,R,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50000000,27669725
248,Bad Boys II,ony Pictures Entertainment (SPE),147.0,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,130000000,138540870
249,Bad Boys,ony Pictures Entertainment (SPE),119.0,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23000000,65647413
250,Independence Day,Twentieth Century Fox,145.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,306169255
252,American Pie 2,Universal Pictures,108.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,145096820
